Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
fucci-wt-single-f8-r3-c7_S70_	brdu	269406	247702	4.9%	0.6%	31.4%	36	48.6%	46.0%	151	0.3	0.00%	0.53%	0
fucci-wt-single-f8-r4-c1_S71_	brdu	382322	345348	5.0%	0.8%	8.9%	51	22.9%	44.0%	150	0.24	0.00%	0.59%	0
fucci-wt-single-f8-r4-c2_S72_	acceptable	326276	296568	4.3%	0.7%	4.3%	46	15.8%	42.0%	150	0.23	0.00%	0.59%	0
fucci-wt-single-f8-r4-c3_S73_	acceptable	320261	290006	4.0%	0.7%	4.0%	46	11.4%	42.0%	151	0.23	0.00%	0.47%	0
fucci-wt-single-f8-r4-c4_S74_	good	1094762	994254	10.1%	2.2%	2.9%	147	20.4%	40.0%	150	0.21	0.00%	1.36%	0.0662155
fucci-wt-single-f8-r4-c5_S75_	good	786405	712638	7.3%	1.6%	2.2%	109	13.3%	41.0%	152	0.2	0.00%	1.42%	0
fucci-wt-single-f8-r4-c6_S76_	brdu	365749	332838	5.4%	0.8%	3.3%	51	11.4%	41.0%	154	0.25	0.00%	0.53%	0
fucci-wt-single-f8-r4-c7_S77_	poor	112149	102090	3.1%	0.2%	4.5%	16	3.8%	40.0%	151	0.46	0.00%	0.41%	0
fucci-wt-single-f8-r5-c1_S78_	poor	15535	14182	1.2%	0.0%	38.8%	2	25.0%	47.0%	154	NA	0.00%	0.00%	0
fucci-wt-single-f8-r5-c2_S79_	poor	59660	54082	2.0%	0.1%	3.1%	8	12.0%	44.0%	151	0.68	0.00%	0.06%	0
fucci-wt-single-f8-r5-c3_S80_	good	1044512	946018	8.4%	2.1%	2.2%	143	13.7%	42.0%	151	0.2	0.00%	1.95%	0
fucci-wt-single-f8-r5-c4_S81_	good	1172200	1062206	9.2%	2.4%	2.8%	160	17.9%	41.0%	152	NA	0.00%	2.07%	0
fucci-wt-single-f8-r5-c5_S82_	brdu	604966	553356	7.5%	1.2%	13.1%	76	32.5%	41.0%	152	NA	0.00%	0.59%	0
fucci-wt-single-f8-r5-c6_S83_	poor	25804	23592	1.6%	0.1%	5.7%	4	8.3%	46.0%	153	NA	0.00%	0.06%	0
