Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
na12878-m1h3h5-1-10-taq-single-f9-r6-c2_S233_	e	NA	234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r6-c3_S234_	e	NA	92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r6-c4_S235_	e	NA	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r6-c5_S236_	e	NA	2174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r6-c6_S237_	e	NA	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r6-c7_S238_	e	NA	82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r7-c1_S239_	p	2211570	1974756	19.10%	3.90%	10.40%	237	46.10%	49.00%	129	NA	0.00%	3.80%	0
na12878-m1h3h5-1-10-taq-single-f9-r7-c2_S240_	e	NA	176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r7-c3_S241_	p	48728	43674	2.60%	0.10%	7.00%	6	56.00%	50.00%	129	>=2	0.00%	0.20%	0
na12878-m1h3h5-1-10-taq-single-f9-r7-c4_S242_	a	2525396	2257270	18.40%	4.50%	5.00%	284	46.20%	49.00%	129	NA	0.00%	4.80%	0
na12878-m1h3h5-1-10-taq-single-f9-r7-c5_S243_	e	NA	256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r7-c6_S244_	e	NA	322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-nc-f6-r7-c7_S98_	e	NA	114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r1-c1_S50_	p	20887	18550	1.50%	0.00%	9.10%	3	47.80%	49.00%	129	NA	0.00%	0.00%	0
na12878-m1h3h5-1-30-bst-single-f6-r1-c2_S51_	p	22523	19498	1.50%	0.00%	20.30%	2	30.80%	49.00%	129	>=2	0.00%	0.10%	0
na12878-m1h3h5-1-30-bst-single-f6-r1-c3_S52_	e	NA	1824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r1-c4_S53_	p	432285	362680	6.00%	0.80%	19.50%	43	39.10%	50.00%	129	NA	0.00%	1.20%	0
na12878-m1h3h5-1-30-bst-single-f6-r1-c5_S54_	p	7937	6668	1.00%	0.00%	7.50%	1	26.90%	47.00%	129	NA	0.00%	0.10%	0
na12878-m1h3h5-1-30-bst-single-f6-r1-c6_S55_	p	547355	464204	7.40%	1.00%	32.20%	54	43.20%	50.00%	129	NA	0.00%	1.50%	0
na12878-m1h3h5-1-30-bst-single-f6-r1-c7_S56_	p	16056	13644	1.20%	0.00%	0.00%	2	25.00%	49.00%	129	NA	0.00%	0.00%	0
na12878-m1h3h5-1-30-bst-single-f6-r2-c1_S57_	p	23198	20058	1.80%	0.00%	12.60%	2	23.10%	50.00%	129	NA	0.00%	0.20%	0
na12878-m1h3h5-1-30-bst-single-f6-r2-c2_S58_	e	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r2-c3_S59_	p	359048	305276	5.30%	0.70%	18.40%	39	42.50%	50.00%	129	NA	0.00%	0.70%	0
na12878-m1h3h5-1-30-bst-single-f6-r2-c4_S60_	p	193401	164772	5.00%	0.40%	13.30%	19	38.10%	50.00%	129	1.47	0.00%	1.10%	0
na12878-m1h3h5-1-30-bst-single-f6-r2-c5_S61_	e	NA	418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r2-c6_S62_	e	NA	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r2-c7_S63_	e	NA	194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r3-c1_S64_	p	141141	124758	3.20%	0.30%	16.30%	15	56.70%	50.00%	129	0.5	0.00%	0.40%	0
na12878-m1h3h5-1-30-bst-single-f6-r3-c2_S65_	p	14611	12830	1.70%	0.00%	10.00%	2	52.20%	49.00%	129	>=2	0.00%	0.10%	0
na12878-m1h3h5-1-30-bst-single-f6-r3-c3_S66_	e	NA	2898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r3-c4_S67_	e	NA	120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r3-c5_S68_	e	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r3-c6_S69_	e	NA	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r3-c7_S70_	e	NA	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r4-c1_S71_	p	344198	293868	4.40%	0.70%	12.00%	37	53.70%	51.00%	129	NA	0.00%	0.90%	0
na12878-m1h3h5-1-30-bst-single-f6-r4-c2_S72_	p	25129	21536	1.10%	0.10%	14.70%	3	59.30%	51.00%	129	NA	0.00%	0.00%	0
na12878-m1h3h5-1-30-bst-single-f6-r4-c3_S73_	p	37490	32688	3.50%	0.10%	18.90%	4	39.30%	49.00%	129	>=2	0.00%	0.10%	0
na12878-m1h3h5-1-30-bst-single-f6-r4-c4_S74_	e	NA	1396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r4-c5_S75_	e	NA	182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r4-c6_S76_	e	NA	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r4-c7_S77_	e	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r5-c1_S78_	p	10419	9042	1.30%	0.00%	10.90%	1	60.90%	49.00%	129	NA	0.00%	0.00%	0
na12878-m1h3h5-1-30-bst-single-f6-r5-c2_S79_	p	17040	14742	1.80%	0.00%	0.00%	2	69.60%	49.00%	129	NA	0.00%	0.00%	0
na12878-m1h3h5-1-30-bst-single-f6-r5-c3_S80_	p	1193330	1023504	12.70%	2.10%	27.50%	107	52.80%	50.00%	129	NA	0.00%	1.80%	0
na12878-m1h3h5-1-30-bst-single-f6-r5-c4_S81_	p	972503	833346	10.30%	1.80%	12.00%	104	41.50%	50.00%	129	NA	0.00%	2.30%	0
na12878-m1h3h5-1-30-bst-single-f6-r5-c5_S82_	e	NA	480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r5-c6_S83_	p	8409	7294	1.10%	0.00%	8.40%	1	34.80%	52.00%	129	>=2	0.00%	0.00%	0
na12878-m1h3h5-1-30-bst-single-f6-r5-c7_S84_	p	7056	6158	1.30%	0.00%	9.30%	1	52.20%	49.00%	129	NA	0.00%	0.00%	0
na12878-m1h3h5-1-30-bst-single-f6-r6-c1_S85_	p	516495	442180	5.80%	1.00%	10.20%	57	52.10%	50.00%	129	NA	0.00%	1.40%	0
na12878-m1h3h5-1-30-bst-single-f6-r6-c2_S86_	p	46378	39870	2.20%	0.10%	8.30%	6	51.90%	49.00%	129	NA	0.00%	0.00%	0
na12878-m1h3h5-1-30-bst-single-f6-r6-c3_S87_	p	101307	88056	2.00%	0.20%	17.40%	12	42.30%	49.00%	129	>=2	0.00%	0.30%	0
na12878-m1h3h5-1-30-bst-single-f6-r6-c4_S88_	p	78778	68222	2.90%	0.20%	10.00%	9	42.90%	48.00%	129	>=2	0.00%	0.20%	0
na12878-m1h3h5-1-30-bst-single-f6-r6-c5_S89_	p	142181	121776	2.60%	0.30%	10.10%	16	50.00%	50.00%	129	NA	0.00%	0.70%	0
na12878-m1h3h5-1-30-bst-single-f6-r6-c6_S90_	e	NA	3606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-bst-single-f6-r6-c7_S91_	e	NA	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
