Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
blm-recq5-1-single-c3-w27-3d6_S64_	shallow	16252	14658	4.10%	0.00%	3.30%	2	4.00%	47.00%	154	>=2	0.00%	0.10%	0
blm-recq5-1-single-c3-w33-3d6_S67_	poor	77452	69704	3.10%	0.20%	1.80%	11	13.30%	48.00%	148	>=2	0.00%	0.10%	0
blm-recq5-1-single-c3-w3-3d6_S52_	poor	30453	27556	3.50%	0.10%	10.00%	4	14.80%	48.00%	154	>=2	0.00%	0.00%	0
blm-recq5-1-single-c3-w35-3d6_S68_	shallow	24044	21372	3.70%	0.00%	4.00%	3	16.00%	50.00%	147	NA	0.00%	0.10%	0
blm-recq5-1-single-c3-w37-3d6_S69_	poor	19396	17562	3.70%	0.00%	0.00%	2	12.50%	51.00%	152	>=2	0.00%	0.20%	0
blm-recq5-1-single-c3-w39-3d6_S70_	shallow	44153	39916	3.10%	0.10%	2.80%	6	11.10%	40.00%	152	>=2	0.00%	0.00%	0
blm-recq5-1-single-c3-w41-3d6_S71_	poor	23571	21266	2.90%	0.10%	7.30%	3	8.30%	43.00%	155	>=2	0.00%	0.00%	0
blm-recq5-1-single-c3-w43-3d6_S72_	poor	13402	12028	4.10%	0.00%	3.10%	2	0.00%	49.00%	150	NA	0.00%	0.00%	0
blm-recq5-1-single-c3-w45-3d6_S73_	poor	11786	10674	3.50%	0.00%	8.30%	1	4.00%	51.00%	149	>=2	0.00%	0.20%	0
blm-recq5-1-single-c3-w47-3d6_S74_	poor	8098	7152	4.10%	0.00%	2.80%	1	8.70%	49.00%	149	>=2	0.00%	0.00%	0
blm-recq5-1-single-c3-w49-3d6_S75_	shallow	20931	18704	4.20%	0.00%	3.10%	3	8.00%	48.00%	160	NA	0.00%	0.00%	0
blm-recq5-1-single-c3-w5-3d6_S53_	poor	NA	NA	NA	NA	NA	NA	NA	NA	NA	>=2	NA	NA	NA
blm-recq5-1-single-c3-w7-3d6_S54_	poor	57403	51762	3.90%	0.10%	2.00%	8	0.00%	47.00%	152	>=2	0.00%	0.20%	0
blm-recq5-1-single-c3-w9-3d6_S55_	poor	95423	86476	3.50%	0.20%	2.30%	13	3.10%	46.00%	152	1.51	0.00%	0.20%	0
blm-recq5-1-single-c7-w10-3d6_S208_	poor	142895	131576	7.20%	0.30%	1.30%	20	10.00%	49.00%	152	NA	0.00%	0.20%	0
blm-recq5-1-single-c7-w11-3d6_S209_	shallow	89654	79526	9.30%	0.20%	1.30%	11	3.70%	50.00%	151	>=2	0.00%	0.20%	0
blm-recq5-1-single-c7-w12-3d6_S210_	poor	65330	59042	10.20%	0.10%	2.60%	9	11.50%	50.00%	153	NA	0.00%	0.20%	0
blm-recq5-1-single-c7-w13-3d6_S211_	shallow	78841	70188	8.50%	0.20%	1.40%	10	7.40%	47.00%	152	>=2	0.00%	0.20%	0.937566
blm-recq5-1-single-c7-w1-3d6_S199_	poor	69115	62252	7.10%	0.10%	8.50%	8	7.40%	47.00%	150	NA	0.00%	0.00%	0
blm-recq5-1-single-c7-w14-3d6_S212_	good	456837	411514	10.30%	0.90%	1.20%	59	15.40%	47.00%	151	0.33	0.00%	0.60%	0
blm-recq5-1-single-c7-w15-3d6_S213_	poor	68657	62194	9.90%	0.10%	28.40%	8	19.40%	48.00%	159	NA	0.00%	0.00%	0
blm-recq5-1-single-c7-w16-3d6_S214_	shallow	20526	18484	8.70%	0.00%	3.70%	2	11.50%	46.00%	166	>=2	0.00%	0.00%	0
blm-recq5-1-single-c7-w17-3d6_S215_	poor	69569	62826	6.40%	0.10%	17.90%	9	21.90%	47.00%	153	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w18-3d6_S216_	poor	95080	85894	10.60%	0.20%	32.90%	11	24.10%	48.00%	155	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w19-3d6_S217_	poor	108032	96396	10.00%	0.20%	1.60%	14	6.90%	49.00%	151	>=2	0.00%	0.60%	0
blm-recq5-1-single-c7-w20-3d6_S218_	shallow	88637	78928	8.70%	0.20%	1.70%	11	16.70%	49.00%	152	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w21-3d6_S219_	shallow	62255	55290	9.30%	0.10%	1.70%	8	15.40%	48.00%	150	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w22-3d6_S220_	shallow	125526	113366	9.10%	0.20%	2.40%	16	6.70%	50.00%	149	>=2	0.00%	0.40%	0
blm-recq5-1-single-c7-w23-3d6_S221_	poor	91173	82450	8.20%	0.20%	2.90%	12	10.30%	48.00%	151	>=2	0.00%	0.20%	0
blm-recq5-1-single-c7-w2-3d6_S200_	shallow	44497	40296	8.40%	0.10%	1.90%	6	4.20%	49.00%	153	>=2	0.00%	0.20%	0
blm-recq5-1-single-c7-w24-3d6_S222_	poor	48606	43088	8.20%	0.10%	4.30%	6	14.30%	48.00%	152	>=2	0.00%	0.00%	0
blm-recq5-1-single-c7-w26-3d6_S224_	poor	59863	54164	4.70%	0.10%	8.90%	8	12.00%	48.00%	156	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w27-3d6_S225_	poor	106397	95344	10.30%	0.20%	23.80%	12	21.20%	48.00%	152	>=2	0.00%	0.20%	0
blm-recq5-1-single-c7-w28-3d6_S226_	good	128640	114684	8.50%	0.30%	2.00%	16	7.90%	49.00%	150	>=2	0.00%	0.30%	0
blm-recq5-1-single-c7-w29-3d6_S227_	poor	16741	15008	6.50%	0.00%	7.30%	2	8.70%	49.00%	159	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w31-3d6_S229_	poor	94918	83836	9.80%	0.20%	2.30%	11	3.40%	50.00%	148	>=2	0.00%	0.10%	0.782737
blm-recq5-1-single-c7-w32-3d6_S230_	shallow	64261	57500	8.50%	0.10%	1.80%	8	10.70%	47.00%	151	>=2	0.00%	0.30%	0
blm-recq5-1-single-c7-w33-3d6_S231_	poor	227527	204366	8.50%	0.50%	1.60%	30	8.30%	47.00%	149	0.53	0.00%	0.50%	0
blm-recq5-1-single-c7-w3-3d6_S201_	poor	29908	27162	8.00%	0.10%	1.90%	4	8.30%	45.00%	164	>=2	0.00%	0.00%	0
blm-recq5-1-single-c7-w34-3d6_S232_	good	199514	179680	8.70%	0.40%	1.80%	26	5.40%	48.00%	149	NA	0.00%	0.50%	0
blm-recq5-1-single-c7-w35-3d6_S233_	poor	91034	81208	11.40%	0.20%	20.00%	10	23.70%	49.00%	151	>=2	0.00%	0.20%	0
blm-recq5-1-single-c7-w36-3d6_S234_	poor	34866	31422	8.30%	0.10%	4.20%	4	15.40%	50.00%	162	NA	0.00%	0.00%	0
blm-recq5-1-single-c7-w37-3d6_S235_	shallow	50269	44722	8.10%	0.10%	2.90%	6	15.40%	49.00%	151	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w38-3d6_S236_	shallow	59248	52552	7.80%	0.10%	1.70%	7	8.30%	47.00%	151	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w39-3d6_S237_	poor	88254	78836	8.40%	0.20%	1.10%	11	17.20%	49.00%	150	>=2	0.00%	0.20%	0
blm-recq5-1-single-c7-w40-3d6_S238_	poor	71152	64356	9.70%	0.10%	1.40%	9	7.70%	46.00%	153	>=2	0.00%	0.20%	0
blm-recq5-1-single-c7-w41-3d6_S239_	poor	32719	28936	7.20%	0.10%	4.40%	4	33.30%	50.00%	150	>=2	0.00%	0.10%	0
