Library	Reads	Sequencing_for_0.05x_cov	Background	Reads_per_Mb	Quality	Mode_insert_size	Mode_GC	Percent_WC	Naive_coverage	Duplication_rate	complexity	coverage	spikiness	entropy
fucci-wt-single-f11-r6-c1_S134_.trimmed.mdup.bam	277280	0.25	1.6	42	acceptable	159	44	6.1	0.6	4.8	6177917.12881742	0.00679793719688759	0.216808388941849	7.90771652500795
fucci-wt-single-f11-r6-c2_S135_.trimmed.mdup.bam	31526	2	1.9	5	poor	157	39	4.3	0.1	1.2	2956499.61247597	0.000772419941112838	0.489688063934004	7.82559791983517
fucci-wt-single-f11-r6-c3_S136_.trimmed.mdup.bam	1181526	0.21	1	173	good	156	39	18.2	2.5	12.1	9428528.34834526	0.0289728756928202	0.136965404416326	7.91954855895551
fucci-wt-single-f11-r6-c4_S137_.trimmed.mdup.bam	94584	0.4	9.3	14	brdu	151	41	10.3	0.2	2.6	3911440.76167636	0.00231888693926869	0.342514943837446	7.87303515603058
fucci-wt-single-f11-r6-c5_S138_.trimmed.mdup.bam	627098	2	1.2	94	good	152	40	17	1.4	8.6	7419338.43833335	0.0153747291652177	0.153875522334736	7.92465236523948
fucci-wt-single-f11-r6-c6_S139_.trimmed.mdup.bam	84118	2	3.4	13	poor	156	40	11.5	0.2	2.9	3129886.50179309	0.00206304603029594	0.314823008849557	7.89826290362706
fucci-wt-single-f11-r6-c7_S140_.trimmed.mdup.bam	866230	2	1.1	128	good	153	41	12	1.9	12	6988711.68917953	0.0212384168705213	0.163909270913803	7.9062572090038
fucci-wt-single-f11-r7-c2_S142_.trimmed.mdup.bam	393564	2	5.4	57	brdu	157	41	20.5	0.9	9	4386902.4542627	0.00965100289608794	0.214484303418467	7.91158710193049
fucci-wt-single-f11-r7-c3_S143_.trimmed.mdup.bam	469240	0.25	1.4	72	acceptable	152	41	14.3	1.1	7	6877856.30020884	0.0115007736939486	0.17281773349112	7.92103945329568
fucci-wt-single-f11-r7-c4_S144_.trimmed.mdup.bam	1346284	0.23	22.2	160	brdu	151	42	36	2.8	16.2	7782136.78850214	0.033003067969019	0.230860225398081	7.87973149046195
fucci-wt-single-f11-r7-c5_S145_.trimmed.mdup.bam	259402	0.27	15.8	37	brdu	153	41	18.8	0.6	5	5489716.85194541	0.00636073357498167	0.281137102970265	7.88971947558002
fucci-wt-single-f11-r7-c6_S146_.trimmed.mdup.bam	998590	0.23	1.2	144	good	158	39	19.2	2.1	12.6	7655348.54321278	0.0244870754135733	0.130370110717275	7.92859573942256
fucci-wt-single-f12-r1-c1_S148_.trimmed.mdup.bam	1018058	0.26	2.7	142	good	154	40	15.1	2.1	15.4	6185332.15381868	0.0249671380785904	0.134427904567945	7.92533422306436
fucci-wt-single-f12-r1-c2_S149_.trimmed.mdup.bam	1292506	0.23	0	158	brdu	152	41	22.2	2.6	16.4	7333285.24721866	0.0316904474819141	0.224537127446878	7.8951734636127
